trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 1, 'e': 0.004127844174255436}",25,14,19.573652251455457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 1, 'e': 0.00400584794209042}",20,14,10.414729925678975,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 1, 'e': 0.0038874572434761303}",25,8,27.50254092389146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 1, 'e': 0.0037725655187922052}",25,19,12.615807861777673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 1, 'e': 0.0036610693577310083}",25,7,30.424614213482283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 1, 'e': 0.003552868406221362}",25,4,33.92244626050504,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 1, 'e': 0.0034478652761031265}",20,0,34.83569002852946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 1, 'e': 0.003345965457471272}",20,8,21.40154213359089,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 1, 'e': 0.003247077233610589}",20,12,13.041274693703464,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 1, 'e': 0.0031511115984444414}",25,8,25.841988636479428,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 1, 'e': 0.0030579821764233073}",30,18,23.752478862031754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 1, 'e': 0.0029676051447809467}",20,13,15.337093212017894,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 1, 'e': 0.002879899158088243}",25,19,14.132318059880923,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 1, 'e': 0.0027947852750368437}",25,13,24.027818965806482,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 1, 'e': 0.0027121868873866434}",30,10,28.122187389219825,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 1, 'e': 0.0026320296510132005}",20,9,23.21214167136437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 1, 'e': 0.0025542414189929983}",30,16,23.701022464420646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 1, 'e': 0.0024787521766663585}",30,12,32.65894675645557,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 1, 'e': 0.0024054939786195117}",30,20,21.388786769832002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 1, 'e': 0.002334400887529135}",30,16,25.473704327979444,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 1, 'e': 0.002265408914814322}",20,15,10.338265839523304,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 1, 'e': 0.0021984559630425313}",20,8,22.835597977299503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 1, 'e': 0.00213348177003771}",25,16,18.759248194340596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 1, 'e': 0.0020704278546402606}",20,16,7.281478635384198,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 1, 'e': 0.0020092374640700602}",20,16,7.625747747395886,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 1, 'e': 0.0019498555228451206}",30,17,29.386341621226077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 1, 'e': 0.0018922285832099397}",30,20,17.972923520046827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 1, 'e': 0.0018363047770289071}",20,10,18.07879711479963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 1, 'e': 0.0017820337691014916}",30,14,31.317949589015615,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 1, 'e': 0.0017293667118571572}",20,14,7.795385720052379,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 1, 'e': 0.0016782562013892477}",20,13,14.509093506896388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 1, 'e': 0.0016286562347882806}",20,9,24.403920446092485,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 1, 'e': 0.001580522168736217}",35,19,29.19320441840479,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 1, 'e': 0.0015338106793244643}",25,19,11.212645436946403,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 1, 'e': 0.0014884797230594294}",25,14,19.57199984553152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 1, 'e': 0.0014444884990205433}",25,11,25.32161495366982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 1, 'e': 0.0014017974121366757}",20,0,29.550927580795157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 1, 'e': 0.0013603680375478939}",20,13,8.024014598546124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 1, 'e': 0.0013201630860205026}",25,14,21.06140461582415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 1, 'e': 0.0012811463703842113}",20,12,13.271590400001804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 1, 'e': 0.0012432827729612415}",25,14,20.4543762601331,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 1, 'e': 0.0012065382139580404}",25,13,24.67642967704165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 1, 'e': 0.0011708796207911744}",20,8,19.752291627668807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 1, 'e': 0.001136274898319767}",35,16,33.48968707645307,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 1, 'e': 0.0011026928999577027}",20,16,5.470028445167542,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
